Distance,Nose,Middle,Rear
98,0,0,1
106,1,1,0
102,1,0,0
107,0,1,1
96,0,1,1
108,1,1,0
96,0,0,1
88,0,1,1
104,0,1,0
145,1,1,1
119,0,1,0
100,0,0,0
110,1,1,1
101,0,0,0
99,1,0,0
118,1,0,0
108,1,1,1
101,0,1,0
95,1,0,1
106,0,1,0
107,0,0,1
94,1,1,1
100,0,0,1
105,1,1,0
80,1,0,1
91,0,0,0
102,1,1,0
95,1,0,0
95,0,1,0
95,0,0,0
94,0,0,1
98,1,0,1
85,0,0,0
109,1,1,0
102,1,0,1
99,1,1,0
90,0,1,1
109,1,0,1
106,1,1,1
96,1,0,1
98,0,1,0
102,1,1,1
90,1,0,0
89,0,0,0
122,0,1,1
101,0,1,1
95,1,0,0
99,0,0,1
105,1,1,0
98,0,1,1
104,0,0,1
103,0,0,0
114,0,1,0
102,0,0,0
112,1,1,1
95,1,1,0
101,1,1,1
93,0,0,1
103,1,0,1
109,1,0,1
105,0,0,1
83,0,0,0
99,0,1,1
107,0,0,1
95,1,0,0
91,0,1,0
87,1,1,0
103,0,1,0
117,1,0,1
99,0,0,0
100,1,0,0
99,1,0,0
101,1,1,0
100,0,1,1
85,1,0,0
103,1,1,1
99,1,1,1
114,0,1,1
100,0,1,0
101,1,0,1